lon,lat,dep,Vs
-113.90,39.80,2,3.13
-113.90,39.80,3,3.13
-113.90,39.80,4,3.52
-113.90,39.80,5,3.52
-113.90,40.00,0,1.77
-113.90,40.00,1,3.19
-113.90,40.00,2,3.19
-113.90,40.00,3,3.19
-113.90,40.00,4,3.50
-113.90,40.00,5,3.50
-113.90,40.20,0,1.75
-113.90,40.20,1,3.18
-113.90,40.20,2,3.18
-113.90,40.20,3,3.18
-113.90,40.20,4,3.49
-113.90,40.20,5,3.49
-113.90,40.40,0,1.81
-113.90,40.40,1,3.14
-113.90,40.40,2,3.14
-113.90,40.40,3,3.14
-113.90,40.40,4,3.48
-113.90,40.40,5,3.48
-113.90,40.60,0,1.88
-113.90,40.60,1,3.08
-113.90,40.60,2,3.08
-113.90,40.60,3,3.08
-113.90,40.60,4,3.48
-113.90,40.60,5,3.48
-113.90,40.80,0,1.93
-113.90,40.80,1,3.05
-113.90,40.80,2,3.05
-113.90,40.80,3,3.05
-113.90,40.80,4,3.48
-113.90,40.80,5,3.48
-113.90,41.00,0,1.91
-113.90,41.00,1,3.07
-113.90,41.00,2,3.07
-113.90,41.00,3,3.07
-113.90,41.00,4,3.48
-113.90,41.00,5,3.48
-113.90,41.20,0,1.92
-113.90,41.20,1,3.09
-113.90,41.20,2,3.09
-113.90,41.20,3,3.09
-113.90,41.20,4,3.49
-113.90,41.20,5,3.49
-113.90,41.40,0,1.90
-113.90,41.40,1,3.13
-113.90,41.40,2,3.13
-113.90,41.40,3,3.13
-113.90,41.40,4,3.50
-113.90,41.40,5,3.50
-113.90,41.60,0,1.91
-113.90,41.60,1,3.18
-113.90,41.60,2,3.18
-113.90,41.60,3,3.18
-113.90,41.60,4,3.51
-113.90,41.60,5,3.51
-113.90,41.80,0,1.91
-113.90,41.80,1,3.18
-113.90,41.80,2,3.18
-113.90,41.80,3,3.18
-113.90,41.80,4,3.51
-113.90,41.80,5,3.51
-113.70,37.20,0,1.84
-113.70,37.20,1,2.68
-113.70,37.20,2,2.68
-113.70,37.20,3,2.68
-113.70,37.20,4,3.49
-113.70,37.20,5,3.49
-113.70,37.40,0,1.79
-113.70,37.40,1,2.67
-113.70,37.40,2,2.67
-113.70,37.40,3,2.67
-113.70,37.40,4,3.47
-113.70,37.40,5,3.47
-113.70,37.60,0,1.73
-113.70,37.60,1,2.70
-113.70,37.60,2,2.70
-113.70,37.60,3,2.70
-113.70,37.60,4,3.46
-113.70,37.60,5,3.46
-113.70,37.80,0,1.64
-113.70,37.80,1,2.75
-113.70,37.80,2,2.75
-113.70,37.80,3,2.75
-113.70,37.80,4,3.45
-113.70,37.80,5,3.45
-113.70,38.00,0,1.61
-113.70,38.00,1,2.80
-113.70,38.00,2,2.80
-113.70,38.00,3,2.80
-113.70,38.00,4,3.47
-113.70,38.00,5,3.47
-113.70,38.20,0,1.62
-113.70,38.20,1,2.90
-113.70,38.20,2,2.90
-113.70,38.20,3,2.90
-113.70,38.20,4,3.48
-113.70,38.20,5,3.48
-113.70,38.40,0,1.68
-113.70,38.40,1,2.97
-113.70,38.40,2,2.97
-113.70,38.40,3,2.97
-113.70,38.40,4,3.49
-113.70,38.40,5,3.49
-113.70,38.60,0,1.76
-113.70,38.60,1,3.07
-113.70,38.60,2,3.07
-113.70,38.60,3,3.07
-113.70,38.60,4,3.50
-113.70,38.60,5,3.50
-113.70,38.80,0,2.05
-113.70,38.80,1,2.96
-113.70,38.80,2,2.96
-113.70,38.80,3,2.96
-113.70,38.80,4,3.52
-113.70,38.80,5,3.52
-113.70,39.00,0,2.21
-113.70,39.00,1,2.95
-113.70,39.00,2,2.95
-113.70,39.00,3,2.95
-113.70,39.00,4,3.52
-113.70,39.00,5,3.52
-113.70,39.20,0,2.24
-113.70,39.20,1,2.99
-113.70,39.20,2,2.99
-113.70,39.20,3,2.99
-113.70,39.20,4,3.50
-113.70,39.20,5,3.50
-113.70,39.40,0,2.20
-113.70,39.40,1,2.99
